Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
T1,19/04/2024,18:00,Besiktas,Ankaragucu,2,0,H,1,0,H,17,17,5,2,12,13,8,6,2,2,0,0,1.8,3.8,4.2,1.78,3.6,4.2,,,,1.84,3.78,4.39,1.8,3.75,4,1.75,3.5,4.1,1.9,3.93,4.45,1.8,3.69,4.25,1.9,1.95,1.91,1.98,1.93,2.01,1.85,1.94,-0.75,2.05,1.75,2.09,1.81,2.12,1.91,2.05,1.79,1.91,3.6,4,1.85,3.5,4.1,,,,1.92,3.6,4.25,1.83,3.7,3.9,1.83,3.4,3.9,1.93,3.7,4.25,1.87,3.56,4.04,1.98,1.88,1.96,1.93,2,1.95,1.89,1.89,-0.5,1.9,1.95,1.93,1.98,1.95,2.02,1.89,1.94
T1,20/04/2024,11:30,Istanbulspor,Karagumruk,1,2,A,0,0,D,13,24,5,5,11,15,1,7,3,3,0,0,5,3.8,1.65,5,3.8,1.65,,,,5.13,4.23,1.65,5,4,1.62,4.8,3.75,1.6,5.2,4.33,1.7,5,4,1.63,1.8,2,1.83,2.06,1.85,2.12,1.79,2.01,0.75,2.03,1.83,2.09,1.83,2.09,1.88,2.02,1.8,5,4.75,1.57,5,4.2,1.58,,,,5.29,4.57,1.59,4.6,4.2,1.62,5,4.1,1.53,5.3,4.8,1.63,5.01,4.34,1.59,1.57,2.35,1.6,2.45,1.6,2.47,1.56,2.38,1,1.9,1.95,1.93,1.98,1.97,2.09,1.87,1.97
T1,20/04/2024,14:00,Konyaspor,Alanyaspor,0,2,A,0,1,A,5,11,1,3,6,9,2,1,2,3,0,0,2.2,3.5,3.1,2.2,3.3,3.1,,,,2.24,3.51,3.32,2.2,3.4,3.1,2.15,3.2,3.13,2.27,3.55,3.32,2.2,3.41,3.17,2.05,1.75,2.08,1.81,2.09,1.85,2.02,1.77,-0.25,1.93,1.93,1.93,1.97,1.96,1.97,1.91,1.91,2.2,3.5,3.1,2.25,3.25,3.1,,,,2.29,3.33,3.36,2.2,3.4,3.1,2.15,3.2,3.1,2.3,3.55,3.36,2.23,3.34,3.18,2.05,1.75,2.11,1.79,2.13,1.84,2.02,1.78,-0.25,1.95,1.9,1.97,1.93,2,1.95,1.93,1.9
T1,20/04/2024,17:00,Kayserispor,Trabzonspor,1,2,A,0,1,A,17,9,3,3,13,4,4,1,0,3,0,0,3.2,3.5,2.15,3.1,3.6,2.1,,,,3.15,3.91,2.17,3.1,3.7,2.1,3,3.5,2.1,3.29,3.91,2.19,3.07,3.71,2.14,1.67,2.15,1.7,2.24,1.75,2.27,1.67,2.18,0.25,1.98,1.88,1.99,1.91,2,1.96,1.93,1.87,3.4,3.6,2.05,3.2,3.5,2.1,,,,3.53,3.6,2.11,3.2,3.7,2.05,3.25,3.5,2,3.53,3.71,2.19,3.28,3.58,2.09,1.67,2.15,1.73,2.2,1.75,2.26,1.68,2.16,0.25,2.05,1.8,2.08,1.84,2.1,1.89,2.01,1.83
T1,20/04/2024,17:00,Samsunspor,Ad. Demirspor,1,1,D,0,1,A,14,8,5,3,18,6,7,4,2,3,0,0,2.2,3.3,3.2,2.2,3.4,3.1,,,,2.25,3.53,3.26,2.2,3.4,3.1,2.2,3.3,3,2.27,3.55,3.34,2.21,3.39,3.15,1.93,1.93,1.94,1.94,1.97,1.95,1.9,1.89,-0.25,1.95,1.9,1.95,1.95,2,1.96,1.92,1.89,2.3,3.3,3.1,2.25,3.3,3,,,,2.28,3.42,3.3,2.2,3.4,3.1,2.2,3.25,3,2.35,3.42,3.32,2.26,3.3,3.14,1.95,1.9,1.94,1.94,2.06,1.95,1.91,1.88,-0.25,1.98,1.88,1.97,1.93,2.04,1.93,1.96,1.87
T1,21/04/2024,11:30,Buyuksehyr,Rizespor,2,0,H,1,0,H,12,11,4,2,10,12,1,4,1,1,0,1,2.1,3.6,3.4,2.1,3.6,3.2,,,,2.18,3.59,3.37,2.05,3.7,3.25,2.1,3.4,3.13,2.18,3.76,3.4,2.11,3.56,3.25,1.73,2.08,1.78,2.13,1.78,2.2,1.71,2.09,-0.25,1.85,2,1.9,2.01,1.9,2.04,1.83,1.98,2.1,3.6,3.5,2.1,3.5,3.25,,,,2.12,3.55,3.56,2.05,3.6,3.25,2,3.6,3.13,2.22,3.61,3.56,2.11,3.48,3.33,1.67,2.15,1.71,2.22,1.75,2.26,1.69,2.14,-0.25,1.8,2.05,1.84,2.07,1.88,2.07,1.83,2
T1,21/04/2024,17:00,Antalyaspor,Hatayspor,2,1,H,0,1,A,12,12,4,6,12,14,0,3,4,3,0,0,1.91,3.5,4.2,1.9,3.4,3.8,,,,1.94,3.5,4.27,1.85,3.6,4,1.87,3.3,3.9,1.95,3.65,4.33,1.89,3.46,4.03,2.05,1.75,2.08,1.81,2.11,1.81,2.02,1.77,-0.5,1.93,1.93,1.95,1.95,2,1.98,1.91,1.91,1.95,3.5,4,1.93,3.5,3.6,,,,1.96,3.46,4.22,1.91,3.7,3.6,1.87,3.4,3.75,2.1,3.7,4.22,1.94,3.49,3.88,1.88,1.98,1.89,1.99,2.06,2.03,1.86,1.92,-0.5,1.93,1.93,1.97,1.93,1.99,2,1.93,1.9
T1,21/04/2024,17:00,Galatasaray,Pendikspor,4,1,H,2,0,H,19,7,8,4,15,8,4,3,1,2,0,0,1.25,6.25,11,1.24,6.25,10.5,,,,1.22,7.41,11.65,1.22,6.5,10,1.2,6,10.5,1.29,7.6,12,1.22,6.62,10.63,1.36,3.1,1.36,3.23,1.38,3.3,1.35,3.1,-2,2.05,1.75,2.08,1.81,2.1,1.87,2.04,1.79,1.25,6.5,11,1.24,6.5,10,,,,1.22,6.92,12.5,1.2,7,10,1.2,6,10,1.29,7.2,13,1.22,6.61,11.05,1.29,3.6,1.3,3.61,1.32,3.96,1.29,3.57,-2,2.03,1.83,2.02,1.87,2.06,1.94,1.99,1.86
T1,21/04/2024,17:00,Gaziantep,Kasimpasa,2,0,H,2,0,H,12,13,5,1,11,10,5,8,0,1,0,0,2.3,3.5,3,2.3,3.5,2.85,,,,2.34,3.63,3.03,2.25,3.6,2.88,2.25,3.4,2.8,2.37,3.72,3.03,2.29,3.51,2.91,1.7,2.1,1.72,2.2,1.77,2.2,1.7,2.12,-0.25,2.03,1.83,2.04,1.87,2.07,1.88,2,1.82,2.6,3.5,2.63,2.7,3.4,2.45,,,,2.65,3.49,2.71,2.7,3.6,2.38,2.5,3.4,2.5,2.75,3.6,2.71,2.64,3.41,2.55,1.75,2.05,1.79,2.1,1.89,2.17,1.73,2.08,0,1.9,1.95,1.93,1.97,2.01,1.99,1.94,1.9
T1,22/04/2024,18:00,Sivasspor,Fenerbahce,2,2,D,0,1,A,9,15,4,6,6,11,3,2,4,1,0,0,8,4.75,1.4,7.25,4.8,1.38,,,,7.15,5.11,1.41,7,5,1.4,7,4.6,1.36,8,5.24,1.44,7.27,4.85,1.39,1.62,2.25,1.65,2.31,1.68,2.32,1.61,2.27,1.25,2,1.85,1.98,1.91,2.04,1.93,1.96,1.85,10,5.5,1.3,9.25,5.5,1.29,,,,10.33,5.48,1.32,10,5.8,1.25,9.5,5.25,1.25,11,5.9,1.35,9.65,5.38,1.29,1.53,2.4,1.59,2.47,1.63,2.51,1.56,2.39,1.5,2.03,1.83,2.05,1.86,2.08,1.97,1.97,1.86
